table_name,table_description,column_order,column_name,data_type,nullable_in_database,nullable_by_business_rule,key_or_constraint,references,allowed_values,null_rule,description
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,2,source_date,DATE,否,否,,,,依目前資料規格必填，不應為 NULL。,實際取得匯率的香港金融管理局資料日期。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,3,from_currency,VARCHAR,否,否,複合主鍵之一：rate_date + from_currency + to_currency,,USD｜HKD｜GBP｜EUR｜JPY｜TWD,依目前資料規格必填，不應為 NULL。,換算前幣別。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,4,to_currency,VARCHAR,否,否,複合主鍵之一：rate_date + from_currency + to_currency,,RMB,依目前資料規格必填，不應為 NULL。,換算後幣別，固定為 RMB。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,5,rate_to_rmb,"DECIMAL(20,10)",否,否,,,,依目前資料規格必填，不應為 NULL。,一單位原幣可換得的人民幣金額。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,6,source_hkd_per_unit,"DECIMAL(20,10)",否,否,,,,依目前資料規格必填，不應為 NULL。,來源資料中的一單位原幣兌港幣值。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,7,cny_hkd_per_unit,"DECIMAL(20,10)",否,否,,,,依目前資料規格必填，不應為 NULL。,來源資料中的一人民幣兌港幣值。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,8,is_carried_forward,BOOLEAN,否,否,,,true｜false,依目前資料規格必填，不應為 NULL。,是否因非發布日而沿用最近可得匯率。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,9,source_name,VARCHAR,否,否,,,,依目前資料規格必填，不應為 NULL。,匯率來源機構。
exchange_rates,2020–2025 每日外幣兌人民幣匯率；非發布日沿用最近可得來源日。,10,source_url,VARCHAR,否,否,,,,依目前資料規格必填，不應為 NULL。,匯率來源網址。
name_aliases,拍賣公司名稱對應表；將中英文或不同寫法正規化為標準名稱。,1,alias_id,VARCHAR,否,否,PRIMARY KEY,,,依目前資料規格必填，不應為 NULL。,名稱對應紀錄的唯一識別碼。
name_aliases,拍賣公司名稱對應表；將中英文或不同寫法正規化為標準名稱。,2,entity_type,VARCHAR,否,否,複合唯一鍵之一：entity_type + alias_name,,auction_house,依目前資料規格必填，不應為 NULL。,別名所屬實體類型。
name_aliases,拍賣公司名稱對應表；將中英文或不同寫法正規化為標準名稱。,3,alias_name,VARCHAR,否,否,複合唯一鍵之一：entity_type + alias_name,,,依目前資料規格必填，不應為 NULL。,可能出現在輸入資料或問題中的名稱寫法。
name_aliases,拍賣公司名稱對應表；將中英文或不同寫法正規化為標準名稱。,4,canonical_name,VARCHAR,否,否,,,,依目前資料規格必填，不應為 NULL。,正規化後的標準名稱。
name_aliases,拍賣公司名稱對應表；將中英文或不同寫法正規化為標準名稱。,5,auction_house_id,VARCHAR,否,否,,auction_houses.auction_house_id,,依目前資料規格必填，不應為 NULL。,對應的拍賣公司識別碼。
name_aliases,拍賣公司名稱對應表；將中英文或不同寫法正規化為標準名稱。,6,language,VARCHAR,否,否,,,zh｜en,依目前資料規格必填，不應為 NULL。,名稱寫法的語言。
