category,subcategory,image_url,title_zh,era_or_artist,auction_house,auction_event,auction_date,auction_location,lot_number,size_text,estimate_low,estimate_high,sold_price,currency,sale_status,lot_id,event_id,auction_house_id,artist_name,era_name,attribution_status
玉器,玉璜,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,玉璜,不詳,佳士得,春季 中國藝術珍品－玉器專場（模擬場次）,2020-03-15,香港,0002,長4.7 寬1.7 厚0.2公分,390000,620000,,RMB,流拍,LOT-121EF484508F,SIM-2020-CHR-JAD-1,CHR,,,資料不詳
法書,行草書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=603221&randomCode=88286321919,明祝允明詩翰　卷　行草書樂府一首,祝允明,蘇富比,秋季 中國書畫珍藏（模擬場次）,2020-11-07,香港,0001,24.3x44.9,5250000,8300000,4350000,RMB,成交,LOT-B1D7340BF8DF,SIM-2020-SOT-CAL-2,SOT,祝允明,明武宗正德元年（1506）,已解析作者
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1225353&randomCode=1108446254,青花花果紋天球瓶,清 雍正,蘇富比,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2022-10-08,香港,0001,高51.9公分 口徑12.4公分 底徑19.5公分,1000000,1650000,1400000,RMB,成交,LOT-BB77D0841222,SIM-2022-SOT-CER-2,SOT,,清 雍正,僅有年代
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=169467&randomCode=2075067574,獸紋提攜,元至明早期,帝圖,春季 中國藝術珍品－玉器專場（模擬場次）,2020-04-12,台北,0001,全高5.2公分 寬5.1公分,620000,960000,,RMB,流拍,LOT-822ACDA1B54E,SIM-2020-DIT-JAD-1,DIT,,元至明早期,僅有年代
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,民國黃君璧花卉四屏　鏡片　荷花,黃君璧,保利香港,春季 中國古代書畫（模擬場次）,2025-06-22,香港,0001,171x45,75000,130000,200000,RMB,成交,LOT-B3E5CC683515,SIM-2025-PHK-PAI-1,PHK,黃君璧,,已解析作者
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1738567&randomCode=1060204202,青花四季花卉紋碗,明,東京中央,春季 重要中國瓷器及工藝精品（模擬場次）,2021-05-29,東京,0001,高9.3公分 口徑19.3公分 底徑9.0公分,1700000,2650000,,RMB,流拍,LOT-AB32F878AD4A,SIM-2021-TCA-CER-1,TCA,,明,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=516025&randomCode=28688717919,清錢慧安瑤仙獻瑞　軸,清德宗光緒十一年（1885）,北京保利,春季 中國古代書畫（模擬場次）,2020-05-24,北京,0002,244.2x121.2,1550000,2450000,2000000,RMB,成交,LOT-C9B843F88699,SIM-2020-BPL-PAI-1,BPL,,清德宗光緒十一年（1885）,僅有年代
銅器,銅鏡,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=839&randomCode=1359872631,連弧紋鏡,漢,永樂拍賣,秋季 吉金永寶－重要青銅器（模擬場次）,2021-10-02,北京,0002,直徑8.5公分,3300000,5550000,7050000,RMB,成交,LOT-9F3F18FF95B3,SIM-2021-YON-BRO-2,YON,,漢,僅有年代
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=30813&randomCode=53009167261,「張惲之印」銅印,新莽,東京中央,秋季 吉金永寶－重要青銅器（模擬場次）,2024-11-09,東京,0001,長2.3公分 寬2.28公分 高2.18公分,790000,1000000,,RMB,流拍,LOT-FFBE96C948B6,SIM-2024-TCA-BRO-2,TCA,,新莽,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=509244&randomCode=46780343248,清張熊杏林春燕　冊頁,不詳,西泠印社,秋季 中國近現代書畫（模擬場次）,2023-09-02,杭州,0002,31.4x41.2,46000,68000,120000,RMB,成交,LOT-8978B8AEB560,SIM-2023-XLY-PAI-2,XLY,,,資料不詳
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=508954&randomCode=33108426497,清釋達受花卉　冊　五,釋達受,永樂拍賣,秋季 中國近現代書畫（模擬場次）,2024-12-22,北京,0001,24.3x12.6,78000,130000,110000,RMB,成交,LOT-0CE82D6CA3AA,SIM-2024-YON-PAI-2,YON,釋達受,,已解析作者
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=38144&randomCode=685660694,「私□」銅印,漢,蘇富比,秋季 吉金永寶－重要青銅器（模擬場次）,2025-09-06,香港,0001,長1.2公分,1400000,2300000,,RMB,流拍,LOT-555A8A42329C,SIM-2025-SOT-BRO-2,SOT,,漢,僅有年代
法書,行書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=437989&randomCode=59130046640,清翁同龢行書五言聯　軸,翁同龢,西泠印社,秋季 翰墨流芳－歷代法書（模擬場次）,2020-09-06,杭州,0001,149x40.6,3300000,4450000,6100000,RMB,成交,LOT-C3C153063C8E,SIM-2020-XLY-CAL-2,XLY,翁同龢,,已解析作者
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,石鑿,不詳,東京中央,春季 韞玉生輝－中國古代玉器（模擬場次）,2022-05-14,東京,0001,長10.0公分,380000,490000,,RMB,流拍,LOT-D9F214CD1DA3,SIM-2022-TCA-JAD-1,TCA,,,資料不詳
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=586185&randomCode=14712840601,清戴衢亨中天臚勝　冊,不詳,華藝國際（廣州）,春季 中國古代書畫（模擬場次）,2022-06-04,廣州,0001,22.4x39.3,190000,260000,180000,RMB,成交,LOT-C4331692B796,SIM-2022-HYG-PAI-1,HYG,,,資料不詳
繪畫,走獸／蟲魚,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=588190&randomCode=71341765942,清蔣廷錫張照書畫合璧　冊　牽牛花開,不詳,保利香港,春季 中國近現代書畫（模擬場次）,2020-06-06,香港,0001,,800000,1300000,3050000,RMB,成交,LOT-5781FA6D0680,SIM-2020-PHK-PAI-1,PHK,,,資料不詳
玉器,玉印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=180477&randomCode=63281037676,青田石「大千父」印,民國六十九年,帝圖,春季 瑰麗玉器與宮廷藝術（模擬場次）,2024-03-16,台北,0001,長2.0公分 寬1.9公分 高9.0公分,1100000,1600000,,RMB,流拍,LOT-FFC3C11B05DC,SIM-2024-DIT-JAD-1,DIT,,民國六十九年,僅有年代
陶瓷器,白瓷／白釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1815423&randomCode=2082326620,甜白釉番蓮紋高足碗,清 乾隆,華藝國際（廣州）,秋季 重要中國瓷器及工藝精品（模擬場次）,2024-12-22,廣州,0001,高9.7公分 口徑14.6公分 底徑4.1公分,620000,890000,,RMB,流拍,LOT-106A453E1C38,SIM-2024-HYG-CER-2,HYG,,清 乾隆,僅有年代
銅器,壺／瓶,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=319183&randomCode=2037714091,弦紋壺,清,橫濱國拍,春季 中國古代青銅器藝術（模擬場次）,2025-04-13,橫濱,0001,高5.2公分 口徑3.2公分,32700000,49900000,53800000,RMB,成交,LOT-2A7F0043D4E9,SIM-2025-YIA-BRO-1,YIA,,清,僅有年代
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1180327&randomCode=2019902702,銅鍍金嵌料法輪,清,中國嘉德,秋季 吉金永寶－重要青銅器（模擬場次）,2022-11-06,北京,0001,高27.8公分,2350000,3000000,2300000,RMB,成交,LOT-703A111E4CD2,SIM-2022-CGD-BRO-2,CGD,,清,僅有年代
陶瓷器,紅釉／紅彩,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=608470&randomCode=1839721881,胭脂紅彩杯,清 康熙,中國嘉德,秋季 重要中國瓷器及工藝精品（模擬場次）,2021-11-06,北京,0001,高5.3公分 口徑5.6公分 底徑2.5公分,3700000,6300000,13300000,RMB,成交,LOT-BD57F55647A0,SIM-2021-CGD-CER-2,CGD,,清 康熙,僅有年代
法書,法帖,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=529846&randomCode=76298835017,清王澍書積書巖帖（十五）　冊　臨王羲之三帖,王澍,中國嘉德（香港）,秋季 中國古代書法（模擬場次）,2023-12-17,香港,0001,25.8x12.5,20000,32000,26000,RMB,成交,LOT-F7EC4CE52730,SIM-2023-CGH-CAL-2,CGH,王澍,,已解析作者
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1188577&randomCode=644677688,清潘曾瑋致芝田二月朔日函,潘曾瑋,中國嘉德（香港）,春季 中國古代書法（模擬場次）,2024-04-28,香港,0001,23x12.4,160000,280000,510000,RMB,成交,LOT-CA544B0D824A,SIM-2024-CGH-CAL-1,CGH,潘曾瑋,,已解析作者
陶瓷器,其他陶瓷,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=377208&randomCode=20248859059,瓷扳指,清 乾隆,西泠印社,秋季 中國藝術珍品－瓷器專場（模擬場次）,2024-09-07,杭州,0001,高2.5公分 口徑2.3公分 底徑2.8公分,3400000,4050000,3550000,RMB,成交,LOT-C364626A2E7E,SIM-2024-XLY-CER-2,XLY,,清 乾隆,僅有年代
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1149879&randomCode=589344703,清倪文蔚致叔起四月十日函,倪文蔚,永樂拍賣,秋季 中國書畫珍藏（模擬場次）,2022-12-31,北京,0001,23.8x12.5,130000,180000,130000,RMB,成交,LOT-F65BEE61DDCC,SIM-2022-YON-CAL-2,YON,倪文蔚,,已解析作者
繪畫,山水,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=584358&randomCode=53514172880,清吳暻山水　冊　層巖積秀,吳暻,北京保利,秋季 中國古代書畫（模擬場次）,2025-12-20,北京,0001,35.9x29.6,900000,1200000,2000000,RMB,成交,LOT-1D44805CC62F,SIM-2025-BPL-PAI-2,BPL,吳暻,,已解析作者
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=563942&randomCode=50428220116,元倪瓚水竹居圖　卷,元順帝至正二十二年（1362）,中國嘉德,春季 中國近現代書畫（模擬場次）,2023-06-04,北京,0001,23.3x141,1550000,2550000,3850000,RMB,成交,LOT-11A240D90239,SIM-2023-CGD-PAI-1,CGD,,元順帝至正二十二年（1362）,僅有年代
銅器,壺／瓶,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=7720&randomCode=1612727199,蒜頭瓶,漢,橫濱國拍,秋季 吉金永寶－重要青銅器（模擬場次）,2022-11-19,橫濱,0001,高37.2公分 口徑3.3公分 腹徑22.3公分 底徑10.9公分 腹深35.3公分,23100000,31600000,,RMB,流拍,LOT-FEFED1DFD650,SIM-2022-YIA-BRO-2,YIA,,漢,僅有年代
陶瓷器,其他陶瓷,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,綠地紫彩雙龍戲珠紋碗,不詳,保利香港,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-05-02,香港,0001,高5.5公分 口徑11公分 底徑4.3公分,2100000,2600000,1850000,RMB,成交,LOT-76A0A38564A6,SIM-2020-PHK-CER-1,PHK,,,資料不詳
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=566206&randomCode=88564949161,元吳鎮墨竹　冊　墨竹（六）,吳鎮,西泠印社,春季 翰墨丹青－中國繪畫專場（模擬場次）,2025-03-08,杭州,0001,34.3x44.3,360000,490000,460000,RMB,成交,LOT-E9CE95966CF9,SIM-2025-XLY-PAI-1,XLY,吳鎮,至正八年（1348）,已解析作者
玉器,玉器皿,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=517811&randomCode=1440107938,玉魚形盒,遼,東京中央,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-10-11,東京,0001,長8.0公分,350000,510000,,RMB,流拍,LOT-83D5F36F8782,SIM-2020-TCA-JAD-2,TCA,,遼,僅有年代
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=173534&randomCode=1311798692,青花纏枝花卉紋蓮花式盤,明 永樂,華藝國際（廣州）,秋季 重要中國瓷器及工藝精品（模擬場次）,2021-12-26,廣州,0001,高6.9公分 口徑37.7公分 底徑24.6公分,470000,800000,710000,RMB,成交,LOT-5928E96D5503,SIM-2021-HYG-CER-2,HYG,,明 永樂,僅有年代
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,石帶刃器,不詳,保利香港,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2021-09-26,香港,0001,長8.9 寬4.3 厚1.4公分,15100000,25900000,24800000,RMB,成交,LOT-D7E5FC53B40A,SIM-2021-PHK-JAD-2,PHK,,,資料不詳
陶瓷器,白瓷／白釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=402097&randomCode=2082326620,北方窯 白瓷劃花牡丹紋圓洗,北宋,邦瀚斯,春季 重要中國瓷器及工藝精品（模擬場次）,2023-04-08,香港,0001,高9.5公分 口徑32.3公分,480000,590000,500000,RMB,成交,LOT-6ED405C024B1,SIM-2023-BON-CER-1,BON,,北宋,僅有年代
玉器,玉器皿,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=152272&randomCode=81261232230,玉鳳柄洗,明,西泠印社,春季 瑰麗玉器與宮廷藝術（模擬場次）,2020-05-03,杭州,0001,寬8公分 高7.0公分 口徑5.6公分,290000,490000,270000,RMB,成交,LOT-0FB6A6946D9C,SIM-2020-XLY-JAD-1,XLY,,明,僅有年代
陶瓷器,其他陶瓷,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1245246&randomCode=719552767,灰陶案,漢,東京飛鳥,春季 中國藝術珍品－瓷器專場（模擬場次）,2025-05-03,東京,0001,長37.0公分 寬27.0公分 高1.6公分,1400000,1900000,1600000,RMB,成交,LOT-142A61BEC002,SIM-2025-TFA-CER-1,TFA,,漢,僅有年代
銅器,鼎,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=68223&randomCode=482308256,亞鼎,商晚期,東京中央,秋季 中國藝術珍品－青銅器專場（模擬場次）,2025-09-21,東京,0001,高18.4公分,1150000,1550000,6050000,RMB,成交,LOT-D74A764CBE14,SIM-2025-TCA-BRO-2,TCA,,商晚期,僅有年代
