event_id,auction_house_id,auction_event,auction_date,auction_location,category,data_status
SIM-2020-YZH-BRO-1,YZH,春季 中國古代青銅器藝術（模擬場次）,2020-06-14,台北,銅器,模擬
SIM-2020-DIT-PAI-1,DIT,春季 翰墨丹青－中國繪畫專場（模擬場次）,2020-06-14,台北,繪畫,模擬
SIM-2020-TFA-CER-1,TFA,春季 重要中國瓷器及工藝精品（模擬場次）,2020-06-14,東京,陶瓷器,模擬
SIM-2020-SOT-PAI-1,SOT,春季 中國近現代書畫（模擬場次）,2020-06-14,香港,繪畫,模擬
SIM-2020-XLY-CAL-1,XLY,春季 中國古代書法（模擬場次）,2020-06-14,杭州,法書,模擬
SIM-2020-DIT-BRO-1,DIT,春季 中國藝術珍品－青銅器專場（模擬場次）,2020-06-20,台北,銅器,模擬
SIM-2020-DIT-CER-1,DIT,春季 中國藝術珍品－瓷器專場（模擬場次）,2020-06-20,台北,陶瓷器,模擬
SIM-2020-YIA-JAD-1,YIA,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-06-20,橫濱,玉器,模擬
SIM-2020-BON-BRO-1,BON,春季 中國古代青銅器藝術（模擬場次）,2020-06-20,香港,銅器,模擬
SIM-2020-HYG-CAL-1,HYG,春季 翰墨流芳－歷代法書（模擬場次）,2020-06-21,廣州,法書,模擬
SIM-2020-CGD-CAL-1,CGD,春季 翰墨流芳－歷代法書（模擬場次）,2020-06-27,北京,法書,模擬
SIM-2020-CGD-PAI-1,CGD,春季 中國近現代書畫（模擬場次）,2020-06-27,北京,繪畫,模擬
SIM-2020-CGD-CER-1,CGD,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-06-27,北京,陶瓷器,模擬
SIM-2020-PHK-JAD-1,PHK,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-06-27,香港,玉器,模擬
SIM-2020-HYG-BRO-1,HYG,春季 吉金永寶－重要青銅器（模擬場次）,2020-06-27,廣州,銅器,模擬
SIM-2020-BON-CER-1,BON,春季 重要中國瓷器及工藝精品（模擬場次）,2020-06-28,香港,陶瓷器,模擬
SIM-2020-SOT-CER-2,SOT,秋季 中國藝術珍品－瓷器專場（模擬場次）,2020-09-05,香港,陶瓷器,模擬
SIM-2020-XLY-PAI-2,XLY,秋季 中國近現代書畫（模擬場次）,2020-09-05,杭州,繪畫,模擬
SIM-2020-CGH-JAD-2,CGH,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-09-06,香港,玉器,模擬
SIM-2020-PHK-JAD-2,PHK,秋季 中國藝術珍品－玉器專場（模擬場次）,2020-09-06,香港,玉器,模擬
SIM-2020-TFA-BRO-2,TFA,秋季 吉金永寶－重要青銅器（模擬場次）,2020-09-06,東京,銅器,模擬
SIM-2020-YON-BRO-2,YON,秋季 中國古代青銅器藝術（模擬場次）,2020-09-06,北京,銅器,模擬
SIM-2020-HYG-CER-2,HYG,秋季 中國藝術珍品－瓷器專場（模擬場次）,2020-09-06,廣州,陶瓷器,模擬
SIM-2020-XLY-CAL-2,XLY,秋季 翰墨流芳－歷代法書（模擬場次）,2020-09-06,杭州,法書,模擬
SIM-2020-BON-PAI-2,BON,秋季 中國近現代書畫（模擬場次）,2020-09-06,香港,繪畫,模擬
SIM-2020-CGH-CAL-2,CGH,秋季 中國古代書法（模擬場次）,2020-09-12,香港,法書,模擬
SIM-2020-TCA-PAI-2,TCA,秋季 中國古代書畫（模擬場次）,2020-09-12,東京,繪畫,模擬
SIM-2020-TCA-BRO-2,TCA,秋季 中國古代青銅器藝術（模擬場次）,2020-09-12,東京,銅器,模擬
SIM-2020-XLY-BRO-2,XLY,秋季 吉金永寶－重要青銅器（模擬場次）,2020-09-12,杭州,銅器,模擬
SIM-2020-BPL-CAL-2,BPL,秋季 翰墨流芳－歷代法書（模擬場次）,2020-09-13,北京,法書,模擬
SIM-2020-DIT-JAD-2,DIT,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-09-13,台北,玉器,模擬
SIM-2020-HYG-BRO-2,HYG,秋季 中國藝術珍品－青銅器專場（模擬場次）,2020-09-13,廣州,銅器,模擬
SIM-2020-YZH-CAL-2,YZH,秋季 翰墨流芳－歷代法書（模擬場次）,2020-09-19,台北,法書,模擬
SIM-2020-YON-JAD-2,YON,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-09-19,北京,玉器,模擬
SIM-2020-BON-BRO-2,BON,秋季 吉金永寶－重要青銅器（模擬場次）,2020-09-20,香港,銅器,模擬
SIM-2020-CHR-JAD-2,CHR,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-09-26,香港,玉器,模擬
SIM-2020-PHK-CER-2,PHK,秋季 中國藝術珍品－瓷器專場（模擬場次）,2020-09-27,香港,陶瓷器,模擬
SIM-2020-YIA-CER-2,YIA,秋季 中國藝術珍品－瓷器專場（模擬場次）,2020-09-27,橫濱,陶瓷器,模擬
SIM-2020-PHK-PAI-2,PHK,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2020-10-03,香港,繪畫,模擬
SIM-2020-YZH-JAD-2,YZH,秋季 韞玉生輝－中國古代玉器（模擬場次）,2020-10-03,台北,玉器,模擬
SIM-2020-HYG-JAD-2,HYG,秋季 中國藝術珍品－玉器專場（模擬場次）,2020-10-03,廣州,玉器,模擬
SIM-2020-CHR-CAL-2,CHR,秋季 中國古代書法（模擬場次）,2020-10-04,香港,法書,模擬
SIM-2020-HYG-CAL-2,HYG,秋季 中國書畫珍藏（模擬場次）,2020-10-04,廣州,法書,模擬
SIM-2020-BON-CER-2,BON,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2020-10-04,香港,陶瓷器,模擬
SIM-2020-CGD-BRO-2,CGD,秋季 中國藝術珍品－青銅器專場（模擬場次）,2020-10-10,北京,銅器,模擬
SIM-2020-PHK-BRO-2,PHK,秋季 中國藝術珍品－青銅器專場（模擬場次）,2020-10-10,香港,銅器,模擬
SIM-2020-CHR-PAI-2,CHR,秋季 中國古代書畫（模擬場次）,2020-10-11,香港,繪畫,模擬
SIM-2020-YZH-CER-2,YZH,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2020-10-11,台北,陶瓷器,模擬
SIM-2020-TCA-JAD-2,TCA,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-10-11,東京,玉器,模擬
SIM-2020-TCA-CER-2,TCA,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-10-11,東京,陶瓷器,模擬
SIM-2020-SOT-BRO-2,SOT,秋季 中國藝術珍品－青銅器專場（模擬場次）,2020-10-11,香港,銅器,模擬
SIM-2020-BON-JAD-2,BON,秋季 韞玉生輝－中國古代玉器（模擬場次）,2020-10-11,香港,玉器,模擬
SIM-2020-HYG-PAI-2,HYG,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2020-10-18,廣州,繪畫,模擬
SIM-2020-BPL-PAI-2,BPL,秋季 中國近現代書畫（模擬場次）,2020-10-25,北京,繪畫,模擬
SIM-2020-TFA-CER-2,TFA,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2020-10-25,東京,陶瓷器,模擬
SIM-2020-CGH-PAI-2,CGH,秋季 中國古代書畫（模擬場次）,2020-10-31,香港,繪畫,模擬
SIM-2020-PHK-CAL-2,PHK,秋季 中國書畫珍藏（模擬場次）,2020-10-31,香港,法書,模擬
SIM-2020-TCA-CAL-2,TCA,秋季 中國古代書法（模擬場次）,2020-10-31,東京,法書,模擬
SIM-2020-YIA-BRO-2,YIA,秋季 中國藝術珍品－青銅器專場（模擬場次）,2020-10-31,橫濱,銅器,模擬
SIM-2020-YON-PAI-2,YON,秋季 中國古代書畫（模擬場次）,2020-10-31,北京,繪畫,模擬
SIM-2020-SOT-PAI-2,SOT,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2020-10-31,香港,繪畫,模擬
SIM-2020-XLY-CER-2,XLY,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2020-10-31,杭州,陶瓷器,模擬
SIM-2020-CGH-BRO-2,CGH,秋季 中國古代青銅器藝術（模擬場次）,2020-11-01,香港,銅器,模擬
SIM-2020-BPL-CER-2,BPL,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2020-11-01,北京,陶瓷器,模擬
SIM-2020-YON-CAL-2,YON,秋季 中國古代書法（模擬場次）,2020-11-01,北京,法書,模擬
SIM-2020-CGD-JAD-2,CGD,秋季 中國藝術珍品－玉器專場（模擬場次）,2020-11-07,北京,玉器,模擬
SIM-2020-YIA-PAI-2,YIA,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2020-11-07,橫濱,繪畫,模擬
SIM-2020-SOT-CAL-2,SOT,秋季 中國書畫珍藏（模擬場次）,2020-11-07,香港,法書,模擬
SIM-2020-DIT-BRO-2,DIT,秋季 中國古代青銅器藝術（模擬場次）,2020-11-15,台北,銅器,模擬
SIM-2020-CGD-CAL-2,CGD,秋季 中國書畫珍藏（模擬場次）,2020-11-21,北京,法書,模擬
SIM-2020-YIA-CAL-2,YIA,秋季 中國書畫珍藏（模擬場次）,2020-11-21,橫濱,法書,模擬
SIM-2020-DIT-PAI-2,DIT,秋季 中國古代書畫（模擬場次）,2020-11-22,台北,繪畫,模擬
SIM-2020-BON-CAL-2,BON,秋季 翰墨流芳－歷代法書（模擬場次）,2020-11-22,香港,法書,模擬
SIM-2020-BPL-JAD-2,BPL,秋季 韞玉生輝－中國古代玉器（模擬場次）,2020-11-28,北京,玉器,模擬
SIM-2020-YON-CER-2,YON,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-11-28,北京,陶瓷器,模擬
SIM-2020-TFA-JAD-2,TFA,秋季 韞玉生輝－中國古代玉器（模擬場次）,2020-11-29,東京,玉器,模擬
SIM-2020-BPL-BRO-2,BPL,秋季 吉金永寶－重要青銅器（模擬場次）,2020-12-05,北京,銅器,模擬
SIM-2020-TFA-PAI-2,TFA,秋季 中國近現代書畫（模擬場次）,2020-12-05,東京,繪畫,模擬
SIM-2020-CGD-CER-2,CGD,秋季 中國藝術珍品－瓷器專場（模擬場次）,2020-12-06,北京,陶瓷器,模擬
SIM-2020-TFA-CAL-2,TFA,秋季 翰墨流芳－歷代法書（模擬場次）,2020-12-06,東京,法書,模擬
SIM-2020-XLY-JAD-2,XLY,秋季 韞玉生輝－中國古代玉器（模擬場次）,2020-12-06,杭州,玉器,模擬
SIM-2020-YZH-PAI-2,YZH,秋季 中國近現代書畫（模擬場次）,2020-12-12,台北,繪畫,模擬
SIM-2020-DIT-CAL-2,DIT,秋季 中國古代書法（模擬場次）,2020-12-12,台北,法書,模擬
SIM-2020-YZH-BRO-2,YZH,秋季 吉金永寶－重要青銅器（模擬場次）,2020-12-13,台北,銅器,模擬
SIM-2020-DIT-CER-2,DIT,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-12-13,台北,陶瓷器,模擬
SIM-2020-CGH-CER-2,CGH,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-12-19,香港,陶瓷器,模擬
SIM-2020-YIA-JAD-2,YIA,秋季 中國藝術珍品－玉器專場（模擬場次）,2020-12-19,橫濱,玉器,模擬
SIM-2020-SOT-JAD-2,SOT,秋季 中國藝術珍品－玉器專場（模擬場次）,2020-12-19,香港,玉器,模擬
SIM-2020-CHR-BRO-2,CHR,秋季 中國古代青銅器藝術（模擬場次）,2020-12-26,香港,銅器,模擬
SIM-2020-CGD-PAI-2,CGD,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2020-12-27,北京,繪畫,模擬
SIM-2020-CHR-CER-2,CHR,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-12-27,香港,陶瓷器,模擬
SIM-2021-PHK-CAL-1,PHK,春季 中國書畫珍藏（模擬場次）,2021-03-06,香港,法書,模擬
SIM-2021-PHK-JAD-1,PHK,春季 中國藝術珍品－玉器專場（模擬場次）,2021-03-07,香港,玉器,模擬
SIM-2021-YON-CAL-1,YON,春季 中國古代書法（模擬場次）,2021-03-07,北京,法書,模擬
SIM-2021-XLY-PAI-1,XLY,春季 中國近現代書畫（模擬場次）,2021-03-07,杭州,繪畫,模擬
SIM-2021-TCA-JAD-1,TCA,春季 瑰麗玉器與宮廷藝術（模擬場次）,2021-03-13,東京,玉器,模擬
SIM-2021-SOT-CAL-1,SOT,春季 中國書畫珍藏（模擬場次）,2021-03-13,香港,法書,模擬
SIM-2021-SOT-PAI-1,SOT,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-03-13,香港,繪畫,模擬
SIM-2021-BPL-CAL-1,BPL,春季 翰墨流芳－歷代法書（模擬場次）,2021-03-20,北京,法書,模擬
SIM-2021-TCA-CAL-1,TCA,春季 中國古代書法（模擬場次）,2021-03-21,東京,法書,模擬
SIM-2021-TCA-BRO-1,TCA,春季 中國古代青銅器藝術（模擬場次）,2021-03-21,東京,銅器,模擬
SIM-2021-TFA-PAI-1,TFA,春季 中國近現代書畫（模擬場次）,2021-03-21,東京,繪畫,模擬
SIM-2021-YIA-BRO-1,YIA,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-03-21,橫濱,銅器,模擬
SIM-2021-SOT-CER-1,SOT,春季 中國藝術珍品－瓷器專場（模擬場次）,2021-03-21,香港,陶瓷器,模擬
SIM-2021-YZH-JAD-1,YZH,春季 韞玉生輝－中國古代玉器（模擬場次）,2021-03-27,台北,玉器,模擬
SIM-2021-YZH-PAI-1,YZH,春季 中國近現代書畫（模擬場次）,2021-03-28,台北,繪畫,模擬
SIM-2021-YIA-PAI-1,YIA,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-03-28,橫濱,繪畫,模擬
SIM-2021-XLY-JAD-1,XLY,春季 韞玉生輝－中國古代玉器（模擬場次）,2021-03-28,杭州,玉器,模擬
SIM-2021-CGD-BRO-1,CGD,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-04-03,北京,銅器,模擬
SIM-2021-DIT-JAD-1,DIT,春季 瑰麗玉器與宮廷藝術（模擬場次）,2021-04-03,台北,玉器,模擬
SIM-2021-XLY-CAL-1,XLY,春季 翰墨流芳－歷代法書（模擬場次）,2021-04-03,杭州,法書,模擬
SIM-2021-PHK-PAI-1,PHK,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-04-10,香港,繪畫,模擬
SIM-2021-DIT-BRO-1,DIT,春季 中國古代青銅器藝術（模擬場次）,2021-04-10,台北,銅器,模擬
SIM-2021-BPL-CER-1,BPL,春季 御窯菁華－中國古代陶瓷（模擬場次）,2021-04-11,北京,陶瓷器,模擬
SIM-2021-TFA-CAL-1,TFA,春季 翰墨流芳－歷代法書（模擬場次）,2021-04-11,東京,法書,模擬
SIM-2021-SOT-JAD-1,SOT,春季 中國藝術珍品－玉器專場（模擬場次）,2021-04-11,香港,玉器,模擬
SIM-2021-CHR-JAD-1,CHR,春季 瑰麗玉器與宮廷藝術（模擬場次）,2021-04-17,香港,玉器,模擬
SIM-2021-HYG-PAI-1,HYG,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-04-17,廣州,繪畫,模擬
SIM-2021-CHR-BRO-1,CHR,春季 中國古代青銅器藝術（模擬場次）,2021-04-24,香港,銅器,模擬
SIM-2021-BPL-BRO-1,BPL,春季 吉金永寶－重要青銅器（模擬場次）,2021-04-24,北京,銅器,模擬
SIM-2021-YON-PAI-1,YON,春季 中國古代書畫（模擬場次）,2021-04-24,北京,繪畫,模擬
SIM-2021-CGD-CAL-1,CGD,春季 中國書畫珍藏（模擬場次）,2021-04-25,北京,法書,模擬
SIM-2021-BON-PAI-1,BON,春季 中國近現代書畫（模擬場次）,2021-04-25,香港,繪畫,模擬
SIM-2021-HYG-BRO-1,HYG,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-05-01,廣州,銅器,模擬
SIM-2021-CGH-BRO-1,CGH,春季 中國古代青銅器藝術（模擬場次）,2021-05-02,香港,銅器,模擬
SIM-2021-CGH-CER-1,CGH,春季 重要中國瓷器及工藝精品（模擬場次）,2021-05-08,香港,陶瓷器,模擬
SIM-2021-DIT-PAI-1,DIT,春季 中國古代書畫（模擬場次）,2021-05-08,台北,繪畫,模擬
SIM-2021-TCA-PAI-1,TCA,春季 中國古代書畫（模擬場次）,2021-05-08,東京,繪畫,模擬
SIM-2021-CGH-JAD-1,CGH,春季 瑰麗玉器與宮廷藝術（模擬場次）,2021-05-09,香港,玉器,模擬
SIM-2021-CGH-PAI-1,CGH,春季 中國古代書畫（模擬場次）,2021-05-09,香港,繪畫,模擬
SIM-2021-DIT-CAL-1,DIT,春季 中國古代書法（模擬場次）,2021-05-09,台北,法書,模擬
SIM-2021-YIA-JAD-1,YIA,春季 中國藝術珍品－玉器專場（模擬場次）,2021-05-09,橫濱,玉器,模擬
SIM-2021-XLY-CER-1,XLY,春季 御窯菁華－中國古代陶瓷（模擬場次）,2021-05-09,杭州,陶瓷器,模擬
SIM-2021-CHR-CAL-1,CHR,春季 中國古代書法（模擬場次）,2021-05-15,香港,法書,模擬
SIM-2021-TFA-JAD-1,TFA,春季 韞玉生輝－中國古代玉器（模擬場次）,2021-05-15,東京,玉器,模擬
SIM-2021-CGD-CER-1,CGD,春季 中國藝術珍品－瓷器專場（模擬場次）,2021-05-16,北京,陶瓷器,模擬
SIM-2021-YZH-CER-1,YZH,春季 御窯菁華－中國古代陶瓷（模擬場次）,2021-05-22,台北,陶瓷器,模擬
SIM-2021-YON-BRO-1,YON,春季 中國古代青銅器藝術（模擬場次）,2021-05-22,北京,銅器,模擬
SIM-2021-CHR-PAI-1,CHR,春季 中國古代書畫（模擬場次）,2021-05-23,香港,繪畫,模擬
SIM-2021-TFA-CER-1,TFA,春季 御窯菁華－中國古代陶瓷（模擬場次）,2021-05-23,東京,陶瓷器,模擬
SIM-2021-TCA-CER-1,TCA,春季 重要中國瓷器及工藝精品（模擬場次）,2021-05-29,東京,陶瓷器,模擬
SIM-2021-TFA-BRO-1,TFA,春季 吉金永寶－重要青銅器（模擬場次）,2021-05-30,東京,銅器,模擬
SIM-2021-CGH-CAL-1,CGH,春季 中國古代書法（模擬場次）,2021-06-05,香港,法書,模擬
SIM-2021-CGD-JAD-1,CGD,春季 中國藝術珍品－玉器專場（模擬場次）,2021-06-06,北京,玉器,模擬
SIM-2021-CGD-PAI-1,CGD,春季 翰墨丹青－中國繪畫專場（模擬場次）,2021-06-06,北京,繪畫,模擬
SIM-2021-SOT-BRO-1,SOT,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-06-06,香港,銅器,模擬
SIM-2021-BON-CAL-1,BON,春季 翰墨流芳－歷代法書（模擬場次）,2021-06-06,香港,法書,模擬
SIM-2021-BON-BRO-1,BON,春季 吉金永寶－重要青銅器（模擬場次）,2021-06-06,香港,銅器,模擬
SIM-2021-BPL-PAI-1,BPL,春季 中國近現代書畫（模擬場次）,2021-06-12,北京,繪畫,模擬
SIM-2021-YIA-CER-1,YIA,春季 中國藝術珍品－瓷器專場（模擬場次）,2021-06-12,橫濱,陶瓷器,模擬
SIM-2021-HYG-CAL-1,HYG,春季 中國書畫珍藏（模擬場次）,2021-06-12,廣州,法書,模擬
SIM-2021-XLY-BRO-1,XLY,春季 吉金永寶－重要青銅器（模擬場次）,2021-06-12,杭州,銅器,模擬
SIM-2021-YZH-BRO-1,YZH,春季 吉金永寶－重要青銅器（模擬場次）,2021-06-13,台北,銅器,模擬
SIM-2021-BON-JAD-1,BON,春季 韞玉生輝－中國古代玉器（模擬場次）,2021-06-13,香港,玉器,模擬
SIM-2021-PHK-BRO-1,PHK,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-06-19,香港,銅器,模擬
SIM-2021-PHK-CER-1,PHK,春季 中國藝術珍品－瓷器專場（模擬場次）,2021-06-19,香港,陶瓷器,模擬
SIM-2021-YON-JAD-1,YON,春季 瑰麗玉器與宮廷藝術（模擬場次）,2021-06-19,北京,玉器,模擬
SIM-2021-YON-CER-1,YON,春季 重要中國瓷器及工藝精品（模擬場次）,2021-06-19,北京,陶瓷器,模擬
SIM-2021-CHR-CER-1,CHR,春季 重要中國瓷器及工藝精品（模擬場次）,2021-06-20,香港,陶瓷器,模擬
SIM-2021-BPL-JAD-1,BPL,春季 韞玉生輝－中國古代玉器（模擬場次）,2021-06-20,北京,玉器,模擬
SIM-2021-DIT-CER-1,DIT,春季 重要中國瓷器及工藝精品（模擬場次）,2021-06-20,台北,陶瓷器,模擬
